id,url,titre,adresse,categorie,categorie_source,type_projet,montant_initial,montant_actuel,nombre_contributions,nombre_commentaires,nombre_videos,nombre_images,nombre_publications
105882,https://fr.ulule.com/fask-les-couturiers-solidaires-du-sud/,FASK - Les Couturiers Solidaires du Sud,AIX MARSEILLE,Solidaire & Citoyen,artisanat_cuisine,euros,5000.0,10644.0,94.0,149,0,6,8
103278,https://fr.ulule.com/une-savonnerie-artisanale-vertueuse/,"la Savonnerie ""dans l'air du temps...""",Sainte Radegonde,Santé & Bien-être,artisanat_cuisine,euros,1800.0,2019.0,87.0,107,0,16,12
102041,https://fr.ulule.com/tawa-premier-album/,TAWA : Premier Album,Toulouse,Musique,artisanat_cuisine,euros,2500.0,2890.0,59.0,80,0,8,1
102277,https://fr.ulule.com/1_foulard_pour_1_sourire/,1 foulard pour 1sourire,Juvisy sur orge,Solidaire & Citoyen,artisanat_cuisine,euros,1500.0,1520.0,23.0,27,0,23,1
102994,https://fr.ulule.com/armures-nilfgaard/,The Witcher : Refaire les armures nilfgaardiennes,Paris,Création de contenus,artisanat_cuisine,euros,3500.0,51893.0,917.0,933,1,22,14
98795,https://fr.ulule.com/stazma-shapeshifter-2xlp/,Stazma - Shapeshifter 2xLP,Lyon,Musique,artisanat_cuisine,euros,3000.0,3435.0,86.0,67,0,9,10
93191,https://fr.ulule.com/le-cube-a-dents/,Le Cube à dents,Gironde,Santé & Bien-être,artisanat_cuisine,prevente,50.0,107.0,61.0,102,1,23,10
101094,https://fr.ulule.com/florantmercadier/,"""L'Occitanie pour les Nuls"" en DVD!",Toulouse,Spectacle vivant,artisanat_cuisine,euros,600.0,949.0,29.0,49,1,12,12
104036,https://fr.ulule.com/eclat-danse/,"éclat danse, ou quoi ?",Paris,Édition & Média,artisanat_cuisine,prevente,15.0,20.0,9.0,8,1,6,3
101135,https://fr.ulule.com/bellevedhere-ep/,Belle Vedhere produit son premier EP !,Paris,Musique,artisanat_cuisine,euros,2000.0,2365.0,43.0,68,1,12,5
101525,https://fr.ulule.com/canetteparis/,"Canette, prêt-à-coudre pour canailles",Paris,Mode & Design,artisanat_cuisine,prevente,100.0,154.0,100.0,159,1,35,7
102899,https://fr.ulule.com/idees-pratiques-2-lecologie-dans-nos-assiettes/,Idées Pratiques #2 : L'écologie dans nos assiettes,Paris,Édition & Média,artisanat_cuisine,prevente,250.0,282.0,272.0,310,0,14,14
102790,https://fr.ulule.com/nord-new-album/,NORD Deuxième Album,Les Lilas,Musique,artisanat_cuisine,euros,2500.0,2690.0,64.0,68,1,15,21
103601,https://fr.ulule.com/mon-1er-artbook-lawrence-art/,Mon 1er ARTBOOK - Lawrence ART,Boulogne sur mer,Art & Photo,artisanat_cuisine,euros,500.0,781.0,28.0,45,0,14,19
99321,https://fr.ulule.com/vapa-nouveau-clip/,[VAPA]💡Nouveau clip,Internet,Musique,artisanat_cuisine,euros,3000.0,5096.0,86.0,120,1,20,17
99830,https://fr.ulule.com/la-cosmetique-simple/,La cosmétique simple,L'Isle sur la Sorgue,Santé & Bien-être,artisanat_cuisine,prevente,100.0,117.0,63.0,109,1,15,3
101023,https://fr.ulule.com/les-hulottes/,Les Hulottes en comminges.,Juzet d'Izaut,Autres projets,artisanat_cuisine,euros,3500.0,4300.0,76.0,79,0,15,5
101783,https://fr.ulule.com/el-royce-nouvel-album/,"EL ROYCE ""Dirty White Blues"" Nouvel Album",Nantes,Musique,artisanat_cuisine,euros,1200.0,1560.0,45.0,80,1,10,14
101862,https://fr.ulule.com/la-goguette-clermont/,La Goguette,Clermont-Ferrand,Solidaire & Citoyen,artisanat_cuisine,euros,11000.0,11500.0,171.0,243,1,14,21
35518,https://fr.ulule.com/compilation-georges-moustaki/,Prix Georges Moustaki : 10 ans déjà !,Méry-sur-Marne,Musique,artisanat_cuisine,euros,2500.0,2565.0,18.0,13,1,6,0
103069,https://fr.ulule.com/il-y-a-dans-lair/,"""IL Y A DANS L'AIR""",ST HIPPOLYTE DU FORT,Musique,artisanat_cuisine,euros,1500.0,1635.0,54.0,93,1,6,8
101739,https://fr.ulule.com/la-fabrik-de-mina-leelo/,La Fabrik de Mina & Leelo,Varennes-Jarcy,Autres projets,artisanat_cuisine,euros,700.0,855.0,20.0,33,0,16,6
101405,https://fr.ulule.com/dalva-nouvel-album/,DALVA // Nouvel Album 'LUMEN',Antony,Musique,artisanat_cuisine,euros,4000.0,4242.0,75.0,117,1,9,4
101036,https://fr.ulule.com/caravane-atelier/,Caravane atelier,Saint-quentin-sur-isère,Mode & Design,artisanat_cuisine,euros,1500.0,1557.0,56.0,74,0,14,0
99423,https://fr.ulule.com/stage-au-japon/,Stage au Japon,Versailles,Art & Photo,artisanat_cuisine,euros,1500.0,1552.0,38.0,22,0,27,0
100580,https://fr.ulule.com/wallack-black-neons-2020/,"WALLACK- Black Neons, 2020",Poitiers,Musique,artisanat_cuisine,euros,3000.0,3291.0,116.0,77,1,8,9
100429,https://fr.ulule.com/enfoui-court-metrage/,ENFOUI,Saint-Etienne,Film & vidéo,artisanat_cuisine,euros,1500.0,1875.0,34.0,51,1,13,6
100996,https://fr.ulule.com/25-ans-de-photographies/,25 ans de photographies,Cordes sur Ciel,Art & Photo,artisanat_cuisine,euros,1200.0,1305.0,35.0,42,0,14,9
100901,https://fr.ulule.com/the-art-of-will-argunas/,THE ART OF WILL ARGUNAS,Beaugency,Édition & Média,artisanat_cuisine,euros,6000.0,6945.0,138.0,197,0,39,27
99634,https://fr.ulule.com/atelier-mad-maker-2-0/,Atelier Mad Maker 2,France / Savoie,Jeux,artisanat_cuisine,euros,5000.0,11317.0,107.0,162,1,30,50
88703,https://fr.ulule.com/adaryn-warpath/,WARPATH,Caen,Musique,artisanat_cuisine,euros,1500.0,1860.0,44.0,32,1,11,2
100794,https://fr.ulule.com/turbulence/,Turbulence café de spécialité,La Rochelle,Autres projets,artisanat_cuisine,euros,1200.0,1375.0,32.0,51,1,11,0
95758,https://fr.ulule.com/peupledelherbe/,Le Peuple de l'Herbe vous remercie très très fort,Lyon,Musique,artisanat_cuisine,euros,20000.0,20725.0,378.0,292,1,18,12
100748,https://fr.ulule.com/diconaturel/,Dictionnaire d'une vie au Naturel,Montpellier,Santé & Bien-être,artisanat_cuisine,prevente,200.0,319.0,289.0,333,0,30,20
101479,https://fr.ulule.com/la-mecanigma/,La Mecanigma à construire vous même !,Lodeve,Jeux,artisanat_cuisine,euros,10000.0,16155.0,127.0,162,1,23,48
100858,https://fr.ulule.com/fajtextile/,Le tissu imprimé en France !,Jouarre,Mode & Design,artisanat_cuisine,euros,15000.0,34052.0,611.0,744,1,27,14
100534,https://fr.ulule.com/raavni-nouvel-album/,RAAVNI - Nouvel ALBUM,MESQUER,Musique,artisanat_cuisine,euros,5000.0,5033.0,84.0,62,1,20,13
100741,https://fr.ulule.com/lantillais-0/,L'antillais,Paris,Mode & Design,artisanat_cuisine,prevente,50.0,51.0,21.0,24,0,10,0
101499,https://fr.ulule.com/jeanschevrons/,CHEVRONS,Rouergue,Mode & Design,artisanat_cuisine,prevente,100.0,128.0,87.0,144,1,14,12
101507,https://fr.ulule.com/encre-cthulhu-tatouage/,L'Encre de Cthulhu - Le tatouage autrement,Malakoff,Santé & Bien-être,artisanat_cuisine,euros,6000.0,8250.0,101.0,128,0,13,12
100533,https://fr.ulule.com/developpement-savonnerie-artisanale-doucevague/,Evolution d'une savonnerie artisanale - DouceVague,La Ferté Bernard,Santé & Bien-être,artisanat_cuisine,euros,2000.0,2240.0,34.0,56,1,13,4
93626,https://fr.ulule.com/localternatives/,Le 5 Avril 2020 au Landreau c'est Local'ternatives,Le Landreau,Solidaire & Citoyen,artisanat_cuisine,euros,500.0,500.0,23.0,17,0,8,4
99981,https://fr.ulule.com/eisbear-premier-ep/,EISBEAR 1er EP !,Lyon,Musique,artisanat_cuisine,euros,1600.0,2019.0,67.0,83,1,20,3
100528,https://fr.ulule.com/un-vehicule-pour-macraben/,Un véhicule pour MacraBen !,Mons la trivalle,Autres projets,artisanat_cuisine,prevente,50.0,51.0,24.0,34,0,12,1
100847,https://fr.ulule.com/boutique-de-puericulture-a-figeac/,Petits Pas Figeac,CARDAILLAC,Enfance & Educ.,artisanat_cuisine,euros,4000.0,4387.0,93.0,134,0,13,11
100315,https://fr.ulule.com/le-sommeil-de-lenfant/,Les petits cailloux illustrés de Célia & Maude,Dijon,Enfance & Educ.,artisanat_cuisine,euros,600.0,1343.0,28.0,25,0,21,9
99972,https://fr.ulule.com/du-son-et-des-lumieres/,Un café-concert dans un petit village bourguignon,Collemiers,Spectacle vivant,artisanat_cuisine,euros,2800.0,3740.0,65.0,113,1,11,0
100746,https://fr.ulule.com/waw-premier-ep/,WaW-Premier EP,CARANTEC,Musique,artisanat_cuisine,euros,1000.0,1155.0,34.0,63,0,6,0
98813,https://fr.ulule.com/mouton-noir-lamortisseur/,Mouton Noir l'amortisseur équestre engagé !,Xaintrailles,Sports,artisanat_cuisine,prevente,50.0,62.0,16.0,10,1,8,0
98919,https://fr.ulule.com/inspire-by-wanderhumanity/,INSPIRE by WanderHumanity,Paris,Santé & Bien-être,artisanat_cuisine,euros,3500.0,3685.0,51.0,83,1,15,1
94869,https://fr.ulule.com/aminima-box/,Aminima - L'expérience zéro déchet,Angers - La Rochelle,Solidaire & Citoyen,artisanat_cuisine,prevente,50.0,182.0,88.0,120,0,28,5
97687,https://fr.ulule.com/les-bras-en-lair/,Les Bras en l’Air,Thonon-les-Bains,Santé & Bien-être,artisanat_cuisine,euros,1000.0,1110.0,53.0,36,0,10,11
99141,https://fr.ulule.com/dromfit-collection/,"DROMFit lance la collection ""Earned, not given""",Montpellier,Mode & Design,artisanat_cuisine,euros,2500.0,3016.0,73.0,55,1,9,2
99806,https://fr.ulule.com/unburnt-procession/,UNBURNT - Procession,France,Musique,artisanat_cuisine,euros,3000.0,3168.0,42.0,29,1,24,0
98918,https://fr.ulule.com/trashtimes20/,TRASH TIMES #20 | REVUE RETRO POP-CULTURE,Bordeaux,Édition & Média,artisanat_cuisine,euros,2000.0,2450.0,138.0,100,0,59,8
99122,https://fr.ulule.com/sang-conteste-premier-album-studio/,SANG CONTESTE : Premier album studio,Ahun,Musique,artisanat_cuisine,euros,1330.0,1355.0,16.0,18,0,12,16
97739,https://fr.ulule.com/babyhope/,Des box pour vos essais bébé,LIAS,Santé & Bien-être,artisanat_cuisine,euros,2000.0,4652.0,139.0,232,0,29,11
99564,https://fr.ulule.com/kayo_coffee/,Lancement Kayo Coffee,Nanterre,Autres projets,artisanat_cuisine,euros,3000.0,3320.0,90.0,123,0,20,6
99300,https://fr.ulule.com/les-alporte-cles-du-roliste/,Les alporte clés du rôliste,Bresse,Art & Photo,artisanat_cuisine,euros,700.0,813.0,19.0,15,0,15,7
100300,https://fr.ulule.com/pins-danimaux-mignons/,Yokai Enamel Pins,Violaines,Art & Photo,artisanat_cuisine,euros,300.0,406.0,26.0,47,0,28,11
98616,https://fr.ulule.com/maxi-45t-ghost-dog/,Nouveau maxi 45t vinyle,BORDEAUX,Musique,artisanat_cuisine,euros,2560.0,2895.0,45.0,59,1,10,20
