id,url,titre,adresse,categorie,categorie_source,type_projet,montant_initial,montant_actuel,nombre_contributions,nombre_commentaires,nombre_videos,nombre_images,nombre_publications,logique_modele
138375,https://fr.ulule.com/les-thes-beaux/,salon de the patisserie : les thes beaux,aubervilliers,artisanat & cuisine,artisanat_cuisine,euros,1000.0,1061.0,25.0,41,0,11,0,financement_don
138445,https://fr.ulule.com/beguin-14/,beguin,bordeaux,artisanat & cuisine,artisanat_cuisine,euros,3000.0,6635.0,58.0,92,0,17,7,financement_don
137443,https://fr.ulule.com/bricktop-pizza/,bricktop pizza,paris,artisanat & cuisine,artisanat_cuisine,euros,6500.0,7337.0,57.0,44,1,26,1,financement_don
133578,https://fr.ulule.com/reglo-pour-chat/,"reglo, l'aliment pour chat sain et ecolo",normandie,artisanat & cuisine,artisanat_cuisine,prevente,200.0,3968.0,777.0,1106,1,46,13,vente_produit
138036,https://fr.ulule.com/wine-piece-box/,wine piece - la box des vins bien faits,paris,artisanat & cuisine,artisanat_cuisine,prevente,100.0,107.0,69.0,87,1,18,0,vente_produit
138916,https://fr.ulule.com/le-fournil-de-nouillane/,la poulangerie,tulle,artisanat & cuisine,artisanat_cuisine,euros,3500.0,3500.0,45.0,35,0,12,0,financement_don
138623,https://fr.ulule.com/devinez-epicerie-fine/,devinez - epicerie fine paris 17eme,paris,artisanat & cuisine,artisanat_cuisine,euros,5000.0,7120.0,93.0,134,1,8,10,financement_don
138328,https://fr.ulule.com/florepothin/,nuage vege',paris,artisanat & cuisine,artisanat_cuisine,euros,3000.0,3125.0,43.0,79,0,38,11,financement_don
138119,https://fr.ulule.com/zelie-le-bureau-enfant-durable-et-design/,zelie,aixe-sur-vienne,artisanat & cuisine,artisanat_cuisine,euros,6000.0,6444.0,65.0,103,1,21,1,financement_don
136762,https://fr.ulule.com/les-arranges-kevas/,les arranges kevas,paris,artisanat & cuisine,artisanat_cuisine,prevente,100.0,347.0,200.0,275,1,32,13,vente_produit
136342,https://fr.ulule.com/lesoliveraies/,"les oliveraies, du gout au quotidien",marseille,artisanat & cuisine,artisanat_cuisine,euros,5000.0,22353.0,362.0,472,1,26,16,financement_don
135475,https://fr.ulule.com/brasseriealchimiste/,augmentation de production,pleumeleuc,artisanat & cuisine,artisanat_cuisine,euros,11000.0,11400.0,127.0,131,1,12,2,financement_don
137990,https://fr.ulule.com/izanaia-biere/,izanaia la biere de pain anti-gaspi !,saint pierre d'irube,artisanat & cuisine,artisanat_cuisine,euros,3000.0,4945.0,63.0,52,1,39,0,financement_don
137059,https://fr.ulule.com/la-fee-tout-un-fromage/,la fee tout un fromage,mouzeil,artisanat & cuisine,artisanat_cuisine,euros,4000.0,4100.0,63.0,93,0,20,3,financement_don
135708,https://fr.ulule.com/allegra-6/,allegra epicerie fine,france,artisanat & cuisine,artisanat_cuisine,euros,10000.0,10330.0,53.0,92,1,21,6,financement_don
139024,https://fr.ulule.com/dousseworkshop/,savonnerie dousse,annecy,artisanat & cuisine,artisanat_cuisine,euros,500.0,2406.0,55.0,51,0,26,0,financement_don
137257,https://fr.ulule.com/brule-salon-de-cafe-cuisine-epicerie/,brule - toulouse,toulouse,artisanat & cuisine,artisanat_cuisine,euros,6000.0,7600.0,154.0,240,0,24,4,financement_don
137192,https://fr.ulule.com/livre-cuisine-familiale/,les essentiels familiaux,vincennes,artisanat & cuisine,artisanat_cuisine,euros,7500.0,7687.0,128.0,187,1,29,13,financement_don
138329,https://fr.ulule.com/le-choc-alpin/,le choc' alpin,morzine,artisanat & cuisine,artisanat_cuisine,euros,1100.0,2345.0,52.0,70,0,8,1,financement_don
135116,https://fr.ulule.com/maison-horizon/,maison horizon,paris,artisanat & cuisine,artisanat_cuisine,euros,10000.0,10260.0,117.0,110,1,12,5,financement_don
136872,https://fr.ulule.com/l-embeillage-vaisselle/,h-3 l'embeillage le kit zero dechet cuisine,le perreux-sur-marne,artisanat & cuisine,artisanat_cuisine,prevente,100.0,373.0,132.0,88,1,26,4,vente_produit
138524,https://fr.ulule.com/parenthese-makis-1/,parenthese makis,rueil-malmaison,artisanat & cuisine,artisanat_cuisine,euros,6500.0,7288.0,98.0,139,1,14,5,financement_don
137723,https://fr.ulule.com/alcedo-cosmetiques/,alcedo - cosmetiques a l'eau minerale naturelle,niederbronn-les-bains,artisanat & cuisine,artisanat_cuisine,prevente,100.0,570.0,104.0,70,1,27,2,vente_produit
136365,https://fr.ulule.com/manger-bon-et-sain/,manger bon & sain...,nantes,artisanat & cuisine,artisanat_cuisine,prevente,35.0,44.0,38.0,33,0,10,3,vente_produit
137265,https://fr.ulule.com/une-biere-au-chanvre/,"la biere au chanvre, ca vous dit?",lyon,artisanat & cuisine,artisanat_cuisine,euros,8000.0,8133.0,146.0,124,1,36,7,financement_don
136808,https://fr.ulule.com/savonnerie-saponine-et-sacados/,les savons surgras fait main de saponine & sacados,sigoyer,artisanat & cuisine,artisanat_cuisine,euros,1500.0,1750.0,53.0,88,0,16,11,financement_don
134659,https://fr.ulule.com/atelier-oenologie-vin-en-ligne/,apprenez l'oenologie en ligne !,lyon,artisanat & cuisine,artisanat_cuisine,euros,1500.0,1562.0,28.0,21,1,17,0,financement_don
138082,https://fr.ulule.com/cafe-lutece/,cafe lutece - torrefaction artisanale et locale,paris,artisanat & cuisine,artisanat_cuisine,prevente,120.0,245.0,68.0,48,1,28,5,vente_produit
133278,https://fr.ulule.com/caviste-barman-independant/,caviste barman independant,le mans,artisanat & cuisine,artisanat_cuisine,euros,5000.0,5120.0,31.0,50,1,35,8,financement_don
120812,https://fr.ulule.com/participez-au-developpement-de-la-brasserie-mir/,participez au developpement de la brasserie mir...,romainville,artisanat & cuisine,artisanat_cuisine,euros,5000.0,10305.0,141.0,103,0,20,11,financement_don
137144,https://fr.ulule.com/les-cordons-bleus/,les cordons bleus,argeles sur mer,artisanat & cuisine,artisanat_cuisine,euros,1200.0,2195.0,37.0,31,0,22,1,financement_don
137135,https://fr.ulule.com/patisse-et-malice/,patisse et malice - personnalisee et engagee,ronchin,artisanat & cuisine,artisanat_cuisine,euros,3000.0,3492.0,46.0,69,1,22,9,financement_don
137070,https://fr.ulule.com/chefatou-1/,chefatou,paris,artisanat & cuisine,artisanat_cuisine,euros,9000.0,28200.0,617.0,578,1,16,8,financement_don
137493,https://fr.ulule.com/solide-comme-le-roc/,solide comme le roc - les produits de rocamadour,rocamadour,artisanat & cuisine,artisanat_cuisine,prevente,75.0,135.0,81.0,117,0,25,3,vente_produit
135273,https://fr.ulule.com/la-cuisine-de-jeannette/,la conserverie des gourmandes engagees,lille,artisanat & cuisine,artisanat_cuisine,prevente,200.0,418.0,275.0,376,1,42,8,vente_produit
129937,https://fr.ulule.com/creation-dun-atelier-tiny-house-and-ebenisterie/,"buche, atelier d'ebenisterie",avrille,artisanat & cuisine,artisanat_cuisine,euros,3500.0,4628.0,63.0,110,0,26,0,financement_don
135536,https://fr.ulule.com/une-punta-a-la-pression-ca-vous-tente/,"la punta a la pression, ca vous tente ?",rue du roc rouge,artisanat & cuisine,artisanat_cuisine,euros,5000.0,5950.0,66.0,54,0,15,0,financement_don
133065,https://fr.ulule.com/objets-du-quotidien/,objets du quotidien,marmande,artisanat & cuisine,artisanat_cuisine,euros,3000.0,3225.0,40.0,49,0,23,3,financement_don
137029,https://fr.ulule.com/cafes-de-saison/,des cafes de saison et de petits producteurs,reims,artisanat & cuisine,artisanat_cuisine,prevente,100.0,112.0,80.0,103,0,28,0,vente_produit
135331,https://fr.ulule.com/au-cochon-vert-charcuteries-pour-adultes/,au cochon vert : charcuteries pour adultes !,saint-avertin,artisanat & cuisine,artisanat_cuisine,euros,5000.0,9400.0,195.0,305,1,20,12,financement_don
134106,https://fr.ulule.com/cocktailfreezefr/,cocktailfreeze,paris,artisanat & cuisine,artisanat_cuisine,euros,5000.0,5063.0,51.0,54,1,23,0,financement_don
137217,https://fr.ulule.com/vegan-tourist-paris-map/,vegan tourist map - paris,paris,artisanat & cuisine,artisanat_cuisine,euros,4000.0,4291.0,195.0,234,1,31,9,financement_don
136821,https://fr.ulule.com/my-little-nuts-factory/,my little nuts factory,levallois perret,artisanat & cuisine,artisanat_cuisine,euros,3100.0,3751.0,120.0,96,1,22,10,financement_don
127574,https://fr.ulule.com/cafe-quilate/,cafe quilate,bordeaux,artisanat & cuisine,artisanat_cuisine,prevente,100.0,249.0,79.0,130,1,33,3,vente_produit
135284,https://fr.ulule.com/feveetraisin/,feve & raisin,le havre,artisanat & cuisine,artisanat_cuisine,prevente,80.0,103.0,42.0,32,0,20,3,vente_produit
133143,https://fr.ulule.com/kika_andco/,kika & co' - creatrice de gourmandise,lyon,artisanat & cuisine,artisanat_cuisine,euros,5000.0,6795.0,89.0,67,0,19,7,financement_don
134872,https://fr.ulule.com/la-lithotherapie-au-coeur-des-bougies/,tazeka,paris,artisanat & cuisine,artisanat_cuisine,euros,500.0,1619.0,16.0,16,0,25,0,financement_don
135664,https://fr.ulule.com/le-corner-des-patissier-e-s/,le corner des patissier.e.s,paris,artisanat & cuisine,artisanat_cuisine,euros,12000.0,12145.0,91.0,86,1,20,4,financement_don
136833,https://fr.ulule.com/box-to-meet-you/,box to meet you,chateaudun,artisanat & cuisine,artisanat_cuisine,euros,1800.0,2022.0,24.0,38,1,13,4,financement_don
136514,https://fr.ulule.com/ladamebleue-vins-bio/,le vin bio qui a du gout et du sens,place du ratrait -,artisanat & cuisine,artisanat_cuisine,prevente,50.0,64.0,62.0,105,0,28,6,vente_produit
97166,https://fr.ulule.com/my-sweets-bio/,my sweet's a table,obernai,artisanat & cuisine,artisanat_cuisine,euros,5000.0,5050.0,44.0,37,1,32,4,financement_don
136962,https://fr.ulule.com/cafe-renversant/,"renversant, le cafe engage !",thurins,artisanat & cuisine,artisanat_cuisine,euros,1500.0,3257.0,48.0,85,1,17,7,financement_don
118860,https://fr.ulule.com/les-bocottes/,les bocottes,nantes,artisanat & cuisine,artisanat_cuisine,euros,3000.0,3000.0,26.0,43,1,10,1,financement_don
135164,https://fr.ulule.com/albeert/,"albeert, bieres d'etonnantes",- villiers sur marne,artisanat & cuisine,artisanat_cuisine,euros,3900.0,4930.0,77.0,123,0,14,1,financement_don
134034,https://fr.ulule.com/brasserie-la-risquette/,brasserie la risquette,fiennes,artisanat & cuisine,artisanat_cuisine,euros,2000.0,2590.0,56.0,98,0,9,1,financement_don
137053,https://fr.ulule.com/happy-hour-cocktail-box/,happy hour cocktail box,chaumes en retz,artisanat & cuisine,artisanat_cuisine,prevente,50.0,77.0,63.0,109,1,10,3,vente_produit
135699,https://fr.ulule.com/creation-de-l-epicerie-misa/,creation de l'epicerie misa,lyon,artisanat & cuisine,artisanat_cuisine,euros,2000.0,2705.0,48.0,78,0,18,6,financement_don
132406,https://fr.ulule.com/undimancheencuisine/,un dimanche en cuisine,bordeaux,artisanat & cuisine,artisanat_cuisine,euros,4000.0,6505.0,82.0,91,1,16,4,financement_don
135302,https://fr.ulule.com/loli-cake-cake-design/,loli cake - cake design et patisseries sur mesure,clisson,artisanat & cuisine,artisanat_cuisine,euros,4000.0,4605.0,48.0,88,1,12,6,financement_don
134971,https://fr.ulule.com/le-tant-attendu/,le tant attendu : kit cocktail,paris,artisanat & cuisine,artisanat_cuisine,euros,5000.0,5370.0,111.0,145,1,29,17,financement_don
134936,https://fr.ulule.com/le-local-bio-du-loir/,le local bio du loir,loir-en-vallee,artisanat & cuisine,artisanat_cuisine,euros,5000.0,5470.0,104.0,100,0,15,9,financement_don
134654,https://fr.ulule.com/kanova/,kanova,paris,artisanat & cuisine,artisanat_cuisine,prevente,500.0,2118.0,127.0,109,1,28,4,vente_produit
117625,https://fr.ulule.com/deja-vu-cafe-culturel-troglodyte/,deja vu,la roche-guyon,artisanat & cuisine,artisanat_cuisine,euros,4000.0,4137.0,94.0,69,0,18,3,financement_don
136890,https://fr.ulule.com/origine-box/,une box apero digitale: une experience unique,antibes,artisanat & cuisine,artisanat_cuisine,prevente,100.0,107.0,25.0,19,1,16,0,vente_produit
